Name,Abbreviation,Strret Address,Area,City,State,Zip,Phone,Latitude,Longitude,Adult Cleaning,Composite Filling - 1 surface,Extraction,Root Canal,Porcelain Crown,Website
San Diego Smile Dentistry,SD Smile,7710 Balboa Ave,Kearny Mesa,San Diego,CA,92111,(619) 737-6453,32.822250,-117.157913,,,,,,https://sd-smile.com/
Great Smile Dental,Great Smile,5210 Balboa Ave,Clairemont,San Diego,CA,92117,(858) 598-5842,32.818970,-117.183968,,,,,,https://great-smile-dental-orthodontics-and-periodontics.business.site/
Dental Express,Express,4110 W Point Loma Blvd,Midway,San Diego,CA,92110,(619) 304-7327,32.753737,-117.223805,$100.00,,,,,https://thedentalexpress.com/w-point-loma-blvd/
Bay View Dental,Bay View,3737 Moraga Ave,Clairemont,San Diego,CA,92117,(858) 274-4400,32.809311,-117.210185,,,,,,https://www.markemersondds.com/
"David Eshom, DDS",Eshom,8899 University Center Ln,University City,San Diego,CA,92122,(858) 201-4475,32.869946,-117.227591,$130.00,$250.00,$250.00,$850.00,"$1,350.00",https://www.eshomdds.com/
"Dean Van Nguyen, DDS",Nguyen,4082 30th St,North Park,San Diego,CA,92104,(619) 283-6381,32.751887,-117.130512,,,,,,https://www.laserimplantdental.com/
La Mesa Dental,La Mesa,7872 La Mesa Blvd,La Mesa,La Mesa,CA,91942,(619) 464-1211,32.767208,-117.027936,$100.00,,,,,http://www.lamesadental.com/
Mission Family Dental,Mission,5995 Mission Gorge Rd,Grantville,San Diego,CA,92120,(619) 280-6500,32.782750,-117.098264,,,,,,http://sandiegoperfectsmiles.com/
Linda Vista Dentistry,Linda Vista,7440 Beagle St,Clairemont,San Diego,CA,92111,(858) 384-2083,32.807663,-117.160985,,,,,,N/A
Mesa Dental,Mesa,7625 Mesa College Dr,Clairemont,San Diego,CA,92111,(858) 877-9540,32.800802,-117.157321,,,,,,https://mesadentalsd.com/
"Jeffrey Keeny, DDS",Keeny,1807 Robinson Ave,Hillcrest,San Diego,CA,92103,(619) 295-1512,32.746170,-117.145830,$121.00,$216.00,$196.00,$970.00,"$1,392.00",http://www.drkeeny.com/
