name,abbreviation,address,area,city,state,zip,phone,latitude,longitude,adult_cleaning,composite_filling,extraction,root_canal,porcelain_crown,website
Smile Builders,Smile Builders,Av Revolucion 993,Zona Centro,Tijuana,Baja California,22000,(619) 259-6751,32.526848,-117.036049,45,75,80,350-450,550,https://smilebuilders.net/
Dr Ignacio de la Vega,Vega,Calle Emiliano Zapata 1717,Zona Centro,Tijuana,Baja California,22000,(619) 399-3538,32.480226,-117.015894,,,,,,http://www.drdelavega.com/
Advanced Smiles Dentistry,Adv Smiles,German Gedovius 10489,Zona Rio,Tijuana,Baja California,22010,(619) 488-1557,32.519606,-117.011157,40,40,60-120,250,450,https://advancedsmilesdentistry.com/
I Love My Dentist,Love,Av Revolucion 868,Zona Centro,Tijuana,Baja California,22000,(619) 452-2823,32.526848,-117.036049,45,75,80,350-450,395,https://ilovemydentist.com.mx/
Washington Dental Clinic,Washington,Av Revolucion 1673,Zona Centro,Tijuana,Baja California,22000,(619) 308-7098,32.526848,-117.036049,20-80,40,40,250-300,250-300,http://washingtondentalclinics.com/
Liberty Dental Clinic,Liberty,Calle Benito Juarez 2da 2273,Zona Centro,Tijuana,Baja California,22000,(619) 319-8892,32.535822,-117.032179,40,39,39-50,199-299,225,http://libertydentaltijuana.com/
Dental Alvarez,Alvarez,Av Mision de Loreto 3045,Zona Rio,Tijuana,Baja California,22320,(619) 734-0233,32.520550,-116.973236,50,60,,250-300,300,https://dentalalvarez.com/
Tijuana Clinic for Cosmetic Dentistry,TJ Clinic,Dr Atl 2084,Zona Rio,Tijuana,Baja California,22010,(619) 971-2297,32.524827,-117.014099,,,,,,https://www.tccdentistry.com/
Odontologia Integral de Mexico,Odontologia,Josefa Ortiz de Dominguez 1310,Zona Rio,Tijuana,Baja California,22010,6646829464,32.522908,-117.045351,,,,,,http://www.bajadentistry.com/
American Bio-Dental Center,Bio-Dental,Blvd Agua Caliente 4558,La Chapu,Tijuana,Baja California,22420,(877) 207-0824,32.512397,-117.002315,35,75,200,N/A,550,https://americanbiodental.com/
Dental Brush,Dental Brush,Av de la Amistad 1305,Zona Rio,Tijuana,Baja California,22010,(619) 930-9214,32.539805,-117.029399,45,65-85,75-95,294-315,285,https://www.mydentalbrush.com/
